週,ESG,永續,環保
2023-01-01,19,28,90
2023-01-08,23,29,92
2023-01-15,16,20,86
2023-01-22,6,9,53
2023-01-29,22,31,86
2023-02-05,23,28,86
2023-02-12,25,34,91
2023-02-19,25,30,89
2023-02-26,19,25,79
2023-03-05,26,34,86
2023-03-12,24,34,91
2023-03-19,27,36,91
2023-03-26,24,35,87
2023-04-02,15,22,76
2023-04-09,25,36,89
2023-04-16,27,36,91
2023-04-23,26,36,90
2023-04-30,24,31,97
2023-05-07,24,40,90
2023-05-14,25,38,93
2023-05-21,25,34,88
2023-05-28,24,35,88
2023-06-04,24,33,88
2023-06-11,26,36,86
2023-06-18,18,23,72
2023-06-25,23,32,87
2023-07-02,22,34,100
2023-07-09,25,33,90
2023-07-16,27,41,88
2023-07-23,25,32,85
2023-07-30,24,33,89
2023-08-06,25,35,87
2023-08-13,29,33,92
2023-08-20,28,30,91
2023-08-27,26,31,84
2023-09-03,24,31,82
2023-09-10,28,37,84
2023-09-17,30,40,93
2023-09-24,27,32,81
2023-10-01,26,32,79
2023-10-08,23,28,71
2023-10-15,30,38,86
2023-10-22,31,41,83
2023-10-29,29,40,86
2023-11-05,29,39,94
2023-11-12,32,40,86
2023-11-19,33,45,88
2023-11-26,28,34,83
2023-12-03,33,39,84
2023-12-10,35,43,94
2023-12-17,32,37,81
2023-12-24,33,35,80
2023-12-31,29,34,79